TÍTULO,AUTORAS,INSTITUCIÓN ,AÑO,ÁREA STEM,CATEGORÍA,LINK,,,,,,,,,,,,,,,,,,,
Allison Silva gana el premio de Impacto del Global Competitiveness Leadership Program en Estados Unidos,NA ,Fundación emprende futuro,NA ,Tecnología,Nota de prensa ,https://emprenderfuturo.org/bolivia-emprende/allison-silva-gana-el-premio-de-impacto-del-global-competitiveness-leadership-program-en-estados-unidos/,,,,,,,,,,,,,,,,,,,
Se inicia nueva versión del Taller 24E Plus: Empoderando a mujeres con herramientas financieras,NA,Fundación emprende futuro,NA ,Tecnología,Nota de prensa ,https://emprenderfuturo.org/bolivia-emprende/se-inicia-nueva-version-del-taller-24e-plus-empoderando-a-mujeres-con-herramientas-financieras/,,,,,,,,,,,,,,,,,,,
Se inauguró AWE Bolivia en La Paz con 85 emprendedoras,NA ,Fundación emprende futuro,NA ,Tecnología,Nota de prensa ,https://emprenderfuturo.org/noticias/se-inauguro-awe-bolivia-en-la-paz-con-85-emprendedoras/,,,,,,,,,,,,,,,,,,,
Mujeres 360: Se gradúa la nueva generación de mujeres con talento en tecnología,NA ,Fundación emprende futuro,NA ,Tecnología,Nota de prensa ,https://emprenderfuturo.org/noticias/mujeres-360-se-gradua-la-nueva-generacion-de-mujeres-con-talento-en-tecnologia/,,,,,,,,,,,,,,,,,,,
"Más mujeres ingresan al sector tecnológico, pero persisten los desafíos",NA ,El deber ,2024,STEM,Nota de prensa ,https://eldeber.com.bo/educacion-y-sociedad/mas-mujeres-ingresan-al-sector-tecnologico-pero-persisten-los-desafios_394565,,,,,,,,,,,,,,,,,,,
Ingenieras made in Bolivia: Rompiendo Barreras y Construyendo el Futuro,NA ,El deber ,2024,STEM,Nota de prensa ,https://eldeber.com.bo/te-puede-interesar/ingenieras-made-in-bolivia-rompiendo-barreras-y-construyendo-el-futuro_387403,,,,,,,,,,,,,,,,,,,
¿Cómo motivar a las niñas y adolescentes a explorar carreras STEM?,NA ,El deber ,2024,STEM,Nota de prensa ,https://eldeber.com.bo/te-puede-interesar/ingenieras-made-in-bolivia-rompiendo-barreras-y-construyendo-el-futuro_387403,,,,,,,,,,,,,,,,,,,
En el Fab Lab Santa Cruz desarrollan un biodigestor para mejorar la calidad de vida en el área rural,NA ,El deber ,2024,STEM,Nota de prensa ,https://eldeber.com.bo/educacion-y-sociedad/en-el-fab-lab-santa-cruz-desarrollan-un-biodigestor-para-mejorar-la-calidad-de-vida-en-el-area-rural_382281,,,,,,,,,,,,,,,,,,,
Solo el 35% de los estudiantes de carreras tecnológicas son mujeres,NA ,Los tiempos Bolivia ,2023,STEM ,Nota de prensa ,https://www.lostiempos.com/tendencias/interesante/20231010/solo-35-estudiantes-carreras-tecnologicas-son-mujeres,,,,,,,,,,,,,,,,,,,
Allison Silva: “Podríamos fortalecer la educación en tecnología y el aprendizaje del inglés”,Daymira Barriga Velarde ,Los tiempos Bolivia ,2022,STEM ,Nota de prensa ,https://www.lostiempos.com/oh/entrevista/20220516/allison-silva-podriamos-fortalecer-educacion-tecnologia-aprendizaje-del,,,,,,,,,,,,,,,,,,,
"Iniciativas, programas y concursos acercan a las niñas con la tecnología",Cindy Soliz Villegas,Los tiempos Bolivia ,2021,STEM ,Nota de prensa ,https://www.lostiempos.com/doble-click/vida-tecnologia/20210422/iniciativas-programas-concursos-acercan-ninas-tecnologia,,,,,,,,,,,,,,,,,,,
Ofrecen a mujeres 100 becas en ciencias y tecnología,Catherine Camacho,Los tiempos Bolivia ,2019,STEM,Nota de prensa ,https://www.lostiempos.com/tendencias/educacion/20190820/ofrecen-mujeres-100-becas-ciencias-tecnologia,,,,,,,,,,,,,,,,,,,
